instrument_id,maker_id,type,make_date,year_sale,house_sale,info,auction_catalog_date,auction_catalog_house,notes,stick_length_without,stick_length_with,condition,material_grade,maker_name,authentication_score,weight,stick_shape
85232,647,Violin Bow,,2018,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 59.5 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,59.5,round
85730,647,Violin Bow,,,,"Stamped, ""E. Sartory à Paris. | Round stick. Silver mounted. | Weight: 64.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,64.0,round
85689,647,Violin Bow,,2018,Tarisio,"Stamped, ""E. Sartory à Paris."" | Octagonal stick. Gold mounted. | Stick: 73.1 cm / 74.6 cm | Weight: 58.5 grams",,,,73.1,74.6,0,2.0,"Sartory, Eugène Nicolas",3,58.5,octagonal
91998,647,Violin Bow,,2020,Tarisio,"Stamped, ""Sartory à Paris."" | Round stick. Silver mounted. | Stick: 72.9 cm without button 74.4 cm with button | Weight: 60.5 grams",,,,72.9,74.4,0,1.0,"Sartory, Eugène Nicolas",3,60.5,round
88973,647,Violin Bow,,2019,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: Length of stick without button: 73.0 cm. Length of stick with button: 74.4 cm. | Weight: 61.5 grams",,,,73.0,74.4,0,1.0,"Sartory, Eugène Nicolas",3,61.5,round
91873,647,Violin Bow,,2020,Tarisio,"Stamped, ""E. Sartory à Paris."" | Octagonal stick. Silver mounted. | Stick: Length of stick without button: 72.9 cm. Length of stick with button: 74.4 cm. | Weight: 62.5 grams",,,,72.9,74.4,0,1.0,"Sartory, Eugène Nicolas",3,62.5,octagonal
87660,647,Violin Bow,,2019,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: Length of stick without button: 73.0 cm. Length of stick with button: 74.5 cm. | Weight: 59.0 grams",,,,73.0,74.5,0,1.0,"Sartory, Eugène Nicolas",3,59.0,round
92169,647,Violin Bow,,2020,Tarisio,"Stamped, ""E. Sartory à Paris."" and, ""Expon 1931."" | Octagonal stick. Silver mounted. | Weight: 61.5 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,61.5,octagonal
92767,647,Violin Bow,,2020,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: Length of stick without button: 72.9 cm. Length of stick with button: 74.3 cm. | Weight: 62.0 grams",,,,72.9,74.3,0,1.0,"Sartory, Eugène Nicolas",3,62.0,round
93598,647,Violin Bow,,2020,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.1 cm / 74.5 cm | Weight: 60.0 grams",,,,73.1,74.5,0,1.0,"Sartory, Eugène Nicolas",3,60.0,round
94312,647,Violin Bow,,2020,Tarisio,"Stamped, ""E. Sartory à Paris."" | Octagonal stick. Silver mounted. | Stick: Length of stick without button: 73.1 cm. Length of stick with button: 74.5 cm. | Weight: 63.5 grams",,,,73.1,74.5,0,1.0,"Sartory, Eugène Nicolas",3,63.5,octagonal
93594,647,Violin Bow,,2020,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 63.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,63.0,round
94333,647,Violin Bow,,2019; 2020,Vichy; Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. Illustrated in ""L’Archet"", tome III, p. 114, n°9. | Stick: Length of stick without button: 72.8 cm. Length of stick with button: 74.3 cm. | Weight: 61.0 grams",,,,72.8,74.3,0,1.0,"Sartory, Eugène Nicolas",3,61.0,round
93615,647,Violin Bow,,2020,Tarisio,"Faintly stamped, ""E. Sartory à Paris."" | Round stick. The silver mounted frog and button later. | Stick: 72.9 cm / 74.4 cm | Weight: 65.5 grams",,,,72.9,74.4,1,1.0,"Sartory, Eugène Nicolas",2,65.5,round
96407,647,Violin Bow,,2021,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. The silver mounted frog by Sartory but originally from another stick. The button later. The stick slightly shortened. | Stick: 72.6 cm / 74.1 cm | Weight: 59.0 grams",,,,72.6,74.1,1,1.0,"Sartory, Eugène Nicolas",3,59.0,round
96337,647,Violin Bow,,2021,Tarisio,"Stamped, ""E. Sartory à Paris."" | Octagonal stick. Silver mounted. The frog and button also by Sartory but not original to the stick. | Stick: 73.1 cm / 74.6 cm | Weight: 64.5 grams",,,,73.1,74.6,1,1.0,"Sartory, Eugène Nicolas",3,64.5,octagonal
96409,647,Violin Bow,,2021,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 72.9 cm / 74.3 cm | Weight: 59.5 grams",,,,72.9,74.3,0,1.0,"Sartory, Eugène Nicolas",3,59.5,round
96806,647,Violin Bow,,2021,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. The silver mounted frog and button later. | Stick: 73.2 cm / 74.6 cm | Weight: 62.0 grams",,,,73.2,74.6,1,1.0,"Sartory, Eugène Nicolas",3,62.0,round
