maker_id,maker_name,type,city_maker,auction_house,sale_date,lot,usd,gbp,eur,bold_currency,instrument_id,stick_length_without_x,stick_length_with_x,condition_x,material_grade_x,weight_x,stick_shape_x,stick_length_without_y,stick_length_with_y,condition_y,material_grade_y,weight_y,stick_shape_y,make_date
15272,Grünke & Söhne Firm,Violin Bow,,,2023-06-13,,2547.0,2024.0,2360.0,eur,106744,,,0,1.0,61.0,round,,,0,1.0,61.0,round,
15272,Grünke & Söhne Firm,Viola Bow,,Tarisio,2018-02-22,28,1680.0,1206.0,1363.0,usd,83080,,,0,1.0,68.0,round,,,0,1.0,68.0,round,
228,"Grutter, Andreas",Cello Bow,Amsterdam,Tarisio,2009-10-20,14,983.0,600.0,656.0,gbp,18318,,,0,1.0,78.0,,,,0,1.0,78.0,,
228,"Grutter, Andreas",Cello Bow,Amsterdam,Tarisio,2007-05-11,174,1840.0,928.0,1364.0,usd,12766,,,0,1.0,80.5,,,,0,1.0,80.5,,
2003,"Guillaume, Pierre",Viola Bow,Brussels,,2025-05-16,,6045.0,4551.0,5400.0,eur,124621,73.0,74.5,0,1.0,71.0,round,73.0,74.5,0,1.0,71.0,round,
2003,"Guillaume, Pierre",Violin Bow,Brussels,,2023-10-24,,5730.0,4702.0,5400.0,eur,117261,73.0,74.4,0,1.0,62.5,round,73.0,74.4,0,1.0,62.5,round,
2003,"Guillaume, Pierre",Violin Bow,Brussels,Tarisio,2021-10-26,73,5225.0,3787.0,4500.0,eur,98505,72.4,73.7,0,1.0,61.5,round,72.4,73.7,0,1.0,61.5,round,
2003,"Guillaume, Pierre",Viola Bow,Brussels,Tarisio,2021-03-26,13,4200.0,3047.0,3562.0,usd,96131,72.9,74.3,0,1.0,66.5,round,72.9,74.3,0,1.0,66.5,round,
2003,"Guillaume, Pierre",Viola Bow,,Tarisio,2016-02-26,26,5100.0,3649.0,4634.0,usd,75056,,,0,1.0,69.5,round,,,0,1.0,69.5,round,2012.0
2003,"Guillaume, Pierre",Violin Bow,Brussels,Tarisio,2010-10-15,246,2880.0,1797.0,2044.0,usd,22403,,,0,1.0,61.0,,,,0,1.0,61.0,,
