instrument_id,maker_id,type,make_date,year_sale,house_sale,info,auction_catalog_date,auction_catalog_house,notes,condition,length_of_back,upper_bouts,middle_bouts,lower_bouts,maker_name,authentication_score
1031,549,Violin,1976.0,2000,Tarisio,Bearing an original label. | Near mint condition. | Length of back: 35.8 cm,,,,1.0,35.8,,,,"Pizzamiglio, Carlo",3
44570,2418,Violin,1750.0,1973,Phillip's,Unlabeled. | Length of back: 35.4 cm,"October 18, 1973",Phillip's,,,35.4,,,,"Platner, Alberto",0
62187,551,Violin,1735.0,2012,Brompton's,"Labeled, ""Michael Platner fecit Roma Anno 1735."" | Length of back: 35.6 cm","June 27, 2012",Brompton's,,,35.6,,,,"Platner, Michele",3
49246,551,Violin,1730.0,,,"Labeled, ""Joseph Guarnerius. . ."" | Length of back: 35.9 cm","November 5, 2007",Bonhams,,,35.9,,,,"Platner, Michele",2
2755,551,Violin,1735.0,2001,Tarisio,"Labeled, ""Michael Platner 1736."" | Very good condition. | Length of back: 35.3 cm","November 9, 2001",Tarisio,,3.0,35.3,,,,"Platner, Michele",3
44587,551,Violin,1747.0,1943; 1975,Rudolph Wurlitzer Co.; Sotheby's,"Labeled, ""Michael Platner fecit Romæ Anno 1747."" | Varnish: Golden-brown | Length of back: 35.2 cm","February 13, 1975",Sotheby's,,,35.2,,,,"Platner, Michele",3
5237,552,Violin,1962.0,2004,Tarisio,Bearing the maker's label. | Excellent condition. | Length of back: 35.7 cm,,,,2.0,35.7,,,,"Pliverics, Emil",3
104327,15700,Violin,2016.0,2022,Tarisio,"Labeled, ""Yury Pochekin della scuola Cremonese fece Madrid 2016."" | Branded to the top block, ""Yuri Pocekin Mosca."" Inscribed to the inside back, ""260."" | Length of back: 35.7 cm | Upper bouts: 16.8 cm | Middle bouts: 11.2 cm | Lower bouts: 21.0 cm",,,,,35.7,16.8,11.2,21.0,"Pochekin, Yuri",4
17439,553,Violin,,2007 ; 2009,Tarisio ; Tarisio,"Labeled, ""Jan Podesva..."" | Length of back: 35.7 cm",,,,,35.7,,,,"Podesva, Jan",3
10130,553,Violin,1950.0,2006,Tarisio,Bearing the makers label. | Length of back: 35.5 cm,,,,,35.5,,,,"Podesva, Jan",3
88453,554,Cello,1932.0,2020,Tarisio,"Labeled, ""Ansaldo Poggi, da villa Fontana, allievo di G. Fiorini, fece in Bologna anno 1932."" | Length of back: 75.1 cm | Upper bouts: 33.9 cm | Middle bouts: 22.9 cm | Lower bouts: 43.5 cm",,,,,75.1,33.9,22.9,43.5,"Poggi, Ansaldo",3
85109,554,Violin,1966.0,2018,Tarisio,"Labeled, ""Ansaldo Poggi, da villa Fontana, fece in Bologna anno 1966."" | Branded to the inside back and to the lower ribs, ""A. Poggi."" Inscribed to the inside back, ""Ansaldo Poggi, fece in Bologna, anno 1966."" | Length of back: 35.5 cm | Upper bouts: 16.9 cm | Middle bouts: 11.7 cm | Lower bouts: 20.8 cm",,,,,35.5,16.9,11.7,20.8,"Poggi, Ansaldo",4
74299,554,Violin,1929.0,2015; 2021,Tarisio; Tarisio Private Sales,"Labeled, ""Ansaldo Poggi, allievo di G. Fiorini, fece in Bologna anno 1929."" | Branded to the lower ribs and to the inside upper block, ""A. Poggi."" Inscribed, ""A.P."" | Varnish: of a golden reddish brown colour. | Length of back: 35.6 cm | Upper bouts: 16.8 cm | Middle bouts: 11.3 cm | Lower bouts: 20.8 cm",,,,,35.6,16.8,11.3,20.8,"Poggi, Ansaldo",4
32489,554,Violin,1961.0,2012,Tarisio,"Labeled, ""Ansaldo Poggi, Bologna, 1961"" and branded to the inside back and the lower rib, ""A. POGGI."" | Branded to the inside back and the lower rib, ""A. POGGI"". Inscribed to the inside back, ""Ansaldo Poggi, fece in Bologna, Anno 1961."" | Length of back: 35.4 cm","April 25-26, 2012",Tarisio,,,35.4,,,,"Poggi, Ansaldo",4
52951,554,Viola,1940.0,2008,Sotheby's,"Labeled, ""Ansaldo Poggi da Villa Fontana fece in Zurigo anno 1947"", inscribed ""A. Poggi Bologna 1940"" internally on the lower bass side of the back, and branded ""A. Poggi"" by the endpin. | Length of back: 41.9 cm","October 7, 2008",Sotheby's,"""This instrument, which was made in Bologna in 1940 (as indicated by Poggi's internal inscription), would have been taken to Zurich in December 1946, where Poggi inserted the label dated 1947.""",,41.9,,,,"Poggi, Ansaldo",4
13376,554,Viola,1970.0,2007,Tarisio,Bearing the maker's label. Branded to the inside back and lower rib. Inscribed internally. | Length of back: 43.1 cm (17 inches),"October 1-25, 2007",Tarisio,,,43.1,,,,"Poggi, Ansaldo",3
52944,554,Viola,1976.0,,,"Labeled, ""ANSALDO POGGI, DA VILLA FONTANA, FECE IN BOLOGNA ANNO 1976"", stamped ""A. POGGI"" internally, under fingerboard, and at lower rib. | Length of back: 41.2 cm","May 8, 2005",Skinner,,,41.2,,,,"Poggi, Ansaldo",4
52936,554,Violin,1946.0,2005,Christie's,"Labeled, ""Ansaldo Poggi da Villa Fontana fece in Bologna anno 1946"" and branded on bottom rib: ""A. Poggi."" | Length of back: 35.6 cm","July 14, 2004; March 9, 2005",Christie's; Christie's,,,35.6,,,,"Poggi, Ansaldo",4
52942,554,Violin,1965.0,,,"Labeled, ""ANSALDO POGGI, DA VILLA FONTANA, FECE IN BOLOGNA ANNO 1965"", and stamped ""A. POGGI"" twice under the fingerboard and ""A. POGGI"" at the lower rib. | Length of back: 35.7 cm","May 2, 2004",Skinner,,,35.7,,,,"Poggi, Ansaldo",4
