instrument_id,maker_id,type,make_date,year_sale,house_sale,info,auction_catalog_date,auction_catalog_house,notes,num_year_sales,num_house_sales
128337,647,Violin Bow,,2025,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.1 / 74.5 cm | Weight: 59.0 grams",,,,0,0
130812,647,Violin Bow,,2025,Tarisio,"Stamped, ""E. Sartory à Paris."" | Octagonal stick. Silver mounted. | Stick: Length of stick with button: 74.7 cm. Length of stick without button: 73.2 cm. | Weight: 63.0 grams",,,,0,0
131055,647,Violin Bow,,2025,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.0 / 74.5 cm | Weight: 59.5 grams",,,,0,0
131740,647,Violin Bow,,2025,Tarisio Private Sales,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.1 / 74.6 cm | Weight: 59.5 grams",,,,0,0
133776,647,Violin Bow,,,,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.2 / 74.6 cm | Weight: 60.5 grams",,,,0,0
107292,647,Viola Bow,,2023,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.0/74.6cm | Weight: 70.0 grams",,,,0,0
63001,647,Viola Bow,,2012,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. | Weight: 71.5 grams",,,,0,0
65143,647,Viola Bow,,2013,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Gold-mounted. | Weight: 69.0 grams",,,,0,0
67175,647,Viola Bow,,2014,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 72.5 grams",,,,0,0
4011,647,Viola Bow,,2003,Tarisio,"Stamped, ""E. Sartory à Paris."" | Gold mounted. The ferrule engraved, ""Specialement fait pour Mr. Ysaÿe."" | Weight: 68.0 grams","May 1-8, 2003",Tarisio,,0,0
66332,647,Viola Bow,,2014,Tarisio Private Sales,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 69.0 grams",,,,0,0
72504,647,Viola Bow,,,,"Stamped, ""E. Sartory À Paris."" | Round stick. Silver mounted.",,,,0,0
86761,647,Viola Bow,,2019,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: Length of stick without button: 72.8 cm. Length of stick with button: 74.3 cm. | Weight: 71.5 grams",,,,0,0
77203,647,Viola Bow,,2016,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Round stick. | Weight: 71.5 grams",,,,0,0
101606,647,Viola Bow,,2022,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.0 / 74.6 cm | Weight: 70.5 grams",,,,0,0
93811,647,Viola Bow,,2021,Tarisio Private Sales,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. Engraved to the ferrule, ""Al'ami mangenot."" | Stick: 72.9 cm / 74.5 cm | Weight: 69.5 grams",,,,0,0
131236,647,Viola Bow,,,,,,,,0,0
125281,647,Viola Bow,,2025,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.1 / 74.7 cm | Weight: 69.5 grams",,,,0,0
91227,647,Cello Bow,,2020,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. The frog not original to the stick. | Stick: 69.3 cm / 70.8 cm | Weight: 80.0 grams",,,,0,0
87401,647,Cello Bow,,2019,Tarisio,"Stamped, ""E. Sartory à Paris."" | Octagonal stick. The silver mounted frog and button later. | Weight: 79.5 grams",,,,0,0
84122,647,Cello Bow,,2018 ; 2019,Tarisio ; Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. The silver mounted frog and button later. The head splined. | Weight: 75.0 grams",,,,1,1
107203,647,Cello Bow,,2023,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 69.3/70.9cm | Weight: 78.5 grams",,,,0,0
87402,647,Cello Bow,,2019,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. The silver mounted frog and button probably original to the stick. | Weight: 79.0 grams",,,,0,0
65662,647,Cello Bow,,1960; 2013,Rembert Wurlitzer Inc.; Tarisio,"Stamped, ""E. Sartory à Paris"" on the player side and ""EXPon 1939"" on the audience side. | Octagonal stick. Gold mounted. | Weight: 84.0 grams",,,,1,1
67314,647,Cello Bow,,2014,Tarisio Private Sales,"Stamped, ""E. Sartory à Paris"". Also Stamped underneath the lapping. | Silver mounted. | Stick: round. | Weight: 81.5 grams",,,,0,0
68325,647,Cello Bow,,2014,Tarisio,"Stamped, ""E. Sartory À Paris."" | Round stick. Silver mounted. | Weight: 80.5 grams",,,,0,0
73565,647,Cello Bow,,2015,Tarisio Private Sales,"Stamped, "" E. Sartory À Paris.""",,,,0,0
73456,647,Cello Bow,,2016,Tarisio Private Sales,"Stamped ""E. Sartory À Paris."" | Ebony and silver mounted. The button later. | Stick: round stick in pernambuco wood. | Weight: 79.0g",,,,0,0
72621,647,Cello Bow,,2015,Tarisio,"Stamped, ""E. Sartory á Paris."" | Silver mounted. Round stick. With button 71.1 cm. Without button 69.4 cm. | Weight: 75.0 grams",,,,0,0
74377,647,Cello Bow,,2016,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. Original tinsel lapping. | Weight: 76.5 grams",,,,0,0
74694,647,Cello Bow,,2016,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Octagonal stick. | Weight: 76.5 grams",,,,0,0
86475,647,Cello Bow,,2019,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: Length of stick without button: 69.3 cm. Length of stick with button: 70.8 cm. | Weight: 79.0 grams",,,,0,0
77547,647,Cello Bow,,2012; 2017,Kenneth Warren & Son; Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 80.0 grams",,,,1,1
117839,647,Cello Bow,,2024,Tarisio Private Sales,"Stamped, ""E. Sartory à Paris."" | Octagonal stick. Silver mounted. | Weight: 81.5 grams",,,,0,0
122811,647,Cello Bow,,2025,Tarisio,"Stamped, ""E. Sartory à Paris."" | Octagonal stick. Silver mounted. | Stick: Length of stick with button: 70.9 cm Length of stick without button: 69.3 cm | Weight: 84.0 grams",,,,0,0
87403,647,Cello Bow,,2019,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: Length of stick without button: 69.4 cm. Length of stick with button: 71.0 cm. | Weight: 78.0 grams",,,,0,0
126451,647,Cello Bow,,2025,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: Length of stick with button: 70.9 cm Length of stick without button: 69.2 cm | Weight: 78.0 grams",,,,0,0
