iter	Passed	Remaining
1099	41603	34038
1100	41643	34003
1101	41677	33962
1102	41714	33923
1103	41754	33887
1104	41783	33843
1105	41814	33799
1106	41847	33757
1107	41878	33714
1108	41905	33668
1109	41937	33625
1110	41965	33580
1111	41993	33534
1112	42022	33489
1113	42048	33442
1114	42077	33398
1115	42112	33357
1116	42142	33314
1117	42183	33279
1118	42217	33238
1119	42243	33191
1120	42272	33146
1121	42307	33106
1122	42348	33071
1123	42389	33036
1124	42437	33007
1125	42470	32965
1126	42496	32919
1127	42528	32876
1128	42554	32829
1129	42587	32788
1130	42635	32758
1131	42671	32719
1132	42698	32674
1133	42736	32636
1134	42780	32603
1135	42825	32571
1136	42864	32534
1137	42905	32499
1138	42944	32463
1139	42992	32432
1140	43030	32395
1141	43073	32361
1142	43113	32325
1143	43154	32290
1144	43194	32254
1145	43249	32229
1146	43293	32196
1147	43331	32158
1148	43361	32115
1149	43393	32073
1150	43429	32034
1151	43469	31998
1152	43508	31961
1153	43540	31919
1154	43576	31880
1155	43620	31847
1156	43653	31806
1157	43687	31765
1158	43724	31727
1159	43761	31689
1160	43788	31643
1161	43816	31598
1162	43842	31552
1163	43870	31508
1164	43898	31464
1165	43925	31418
1166	43953	31374
1167	43981	31329
1168	44009	31284
1169	44036	31239
1170	44064	31195
1171	44091	31149
1172	44120	31106
1173	44146	31060
1174	44173	31015
1175	44201	30971
1176	44230	30927
1177	44260	30885
1178	44289	30841
1179	44324	30801
1180	44358	30761
1181	44391	30721
1182	44435	30687
1183	44484	30658
1184	44523	30621
1185	44550	30577
1186	44578	30532
1187	44607	30489
1188	44642	30449
1189	44679	30411
1190	44728	30382
1191	44761	30341
1192	44794	30300
1193	44848	30274
1194	44880	30233
1195	44917	30195
1196	44957	30159
1197	44984	30115
1198	45015	30072
1199	45042	30028
1200	45070	29984
1201	45097	29940
1202	45126	29896
1203	45153	29852
1204	45179	29807
1205	45207	29763
1206	45235	29719
1207	45262	29675
1208	45290	29631
1209	45318	29587
1210	45346	29544
1211	45373	29500
1212	45403	29457
1213	45431	29414
1214	45463	29373
1215	45492	29330
1216	45521	29287
1217	45549	29244
1218	45579	29201
1219	45606	29158
1220	45633	29114
1221	45662	29071
1222	45689	29027
1223	45718	28985
1224	45746	28941
1225	45774	28898
1226	45805	28856
1227	45833	28813
1228	45863	28772
1229	45893	28730
1230	45922	28687
1231	45952	28645
1232	45978	28601
1233	46007	28558
1234	46033	28514
1235	46060	28471
1236	46087	28427
1237	46115	28384
1238	46143	28341
1239	46172	28299
1240	46201	28256
1241	46228	28213
1242	46257	28171
1243	46285	28128
1244	46313	28085
1245	46340	28042
1246	46368	27999
1247	46396	27957
1248	46423	27913
1249	46453	27872
1250	46482	27830
1251	46512	27788
1252	46541	27746
1253	46570	27704
1254	46602	27664
1255	46629	27621
1256	46657	27578
1257	46691	27539
1258	46724	27500
1259	46757	27460
1260	46799	27426
1261	46832	27387
1262	46860	27344
1263	46892	27304
1264	46934	27270
1265	46974	27234
1266	47022	27203
1267	47058	27166
1268	47086	27123
1269	47120	27085
1270	47164	27051
1271	47199	27013
1272	47226	26970
1273	47259	26931
1274	47287	26888
1275	47316	26847
1276	47355	26811
1277	47397	26776
1278	47429	26736
1279	47458	26695
1280	47487	26653
1281	47516	26612
1282	47544	26570
1283	47571	26527
1284	47600	26486
1285	47627	26443
1286	47654	26400
1287	47682	26358
1288	47710	26316
1289	47737	26274
1290	47764	26231
1291	47793	26190
1292	47819	26147
1293	47846	26105
1294	47874	26062
1295	47913	26027
1296	47965	25998
1297	47997	25958
1298	48026	25917
1299	48059	25878
1300	48118	25853
1301	48155	25816
1302	48188	25776
1303	48215	25734
1304	48243	25692
1305	48271	25650
1306	48305	25612
1307	48340	25574
1308	48378	25538
1309	48414	25500
1310	48442	25458
1311	48469	25416
1312	48499	25376
1313	48527	25334
1314	48555	25293
1315	48592	25256
1316	48625	25217
1317	48660	25179
1318	48699	25143
1319	48726	25101
1320	48753	25059
1321	48779	25017
1322	48809	24976
1323	48844	24938
1324	48886	24904
1325	48917	24864
1326	48948	24824
1327	48975	24782
1328	49003	24741
1329	49035	24701
1330	49080	24669
1331	49120	24633
1332	49153	24594
1333	49192	24559
1334	49250	24533
1335	49312	24508
1336	49365	24479
1337	49417	24450
1338	49460	24416
1339	49501	24381
1340	49546	24348
1341	49594	24316
1342	49652	24290
1343	49710	24263
1344	49759	24232
1345	49798	24196
1346	49832	24157
1347	49864	24118
1348	49904	24083
1349	49941	24045
1350	49975	24007
1351	50002	23965
1352	50031	23925
1353	50057	23882
1354	50086	23842
1355	50113	23800
1356	50142	23759
1357	50170	23718
1358	50198	23677
1359	50226	23636
1360	50253	23594
1361	50281	23553
1362	50308	23511
1363	50335	23470
1364	50363	23428
1365	50393	23388
1366	50422	23348
1367	50452	23308
1368	50481	23267
1369	50511	23227
1370	50541	23187
1371	50569	23146
1372	50596	23105
1373	50624	23064
1374	50650	23023
1375	50678	22981
1376	50704	22940
