date,real_price_gold
1970-11-17,309.0305
1970-11-18,310.0571
1970-11-19,309.6465
1970-11-20,311.2892
1970-11-23,310.0571
1970-11-24,311.2892
1970-11-25,311.6998
1970-11-26,309.2358
1970-11-27,308.8251
1970-11-30,310.4678
1970-12-01,308.4991
1970-12-02,309.3163
1970-12-03,306.8646
1970-12-04,306.7829
1970-12-07,308.0905
1970-12-08,307.6819
1970-12-09,305.6388
1970-12-10,306.0474
1970-12-11,303.8001
1970-12-14,307.2732
1970-12-15,309.7249
1970-12-16,309.3163
1970-12-17,309.7249
1970-12-18,307.4776
1970-12-21,307.4776
1970-12-22,310.1335
1970-12-23,307.2732
1970-12-24,307.6819
1970-12-28,305.2302
1970-12-29,305.0259
1970-12-30,308.0905
1970-12-31,307.6819
1971-01-04,308.4991
1971-01-05,308.9077
1971-01-06,308.0905
1971-01-07,305.5571
1971-01-08,308.4991
1971-01-11,310.5421
1971-01-12,312.5852
1971-01-13,312.9938
1971-01-14,312.5852
1971-01-15,313.811
1971-01-18,313.4024
1971-01-19,312.1765
1971-01-20,313.811
1971-01-21,313.4024
1971-01-22,312.5852
1971-01-25,313.4024
1971-01-26,314.2196
1971-01-27,312.9938
1971-01-28,313.4024
1971-01-29,310.9507
1971-02-01,313.4321
1971-02-02,316.2852
1971-02-03,319.5458
1971-02-04,315.8776
1971-02-05,313.106
1971-02-08,317.5079
1971-02-09,319.1382
1971-02-10,316.6927
1971-02-11,319.9534
1971-02-12,319.1382
1971-02-15,317.5079
1971-02-16,319.9534
1971-02-17,319.1382
1971-02-18,316.6112
1971-02-19,318.3231
1971-02-22,315.8776
1971-02-23,318.7307
1971-02-24,318.3231
1971-02-25,318.7307
1971-02-26,316.2852
1971-03-01,317.1207
1971-03-02,314.7626
1971-03-03,317.9338
1971-03-04,317.5273
1971-03-05,315.0879
1971-03-08,317.9338
1971-03-09,315.5758
1971-03-10,318.3404
1971-03-11,319.5601
1971-03-12,317.446
1971-03-15,317.1207
1971-03-16,318.747
1971-03-17,318.3404
1971-03-18,319.5601
1971-03-19,318.747
1971-03-22,316.7954
1971-03-23,319.1535
1971-03-24,318.747
1971-03-25,316.5109
1971-03-26,316.1449
1971-03-29,317.5273
1971-03-30,317.9338
1971-03-31,318.3404
1971-04-01,317.9521
1971-04-02,317.5465
1971-04-05,315.4377
1971-04-06,315.1132
1971-04-07,317.9521
1971-04-08,318.3576
1971-04-13,315.9243
1971-04-14,317.9521
1971-04-15,315.5999
1971-04-16,318.3576
1971-04-19,315.9243
1971-04-20,317.9521
1971-04-21,315.5188
1971-04-22,319.9798
1971-04-23,318.7632
1971-04-26,317.9521
1971-04-27,315.9243
1971-04-28,319.9798
1971-04-29,322.0076
1971-04-30,324.0353
1971-05-03,320.4095
1971-05-04,322.4272
1971-05-05,326.0591
1971-05-06,328.0768
1971-05-07,323.6378
1971-05-10,321.5394
