"Date";"Value"
"03/09/2001";0,933
"03/12/2001";0,9279
"03/13/2001";0,9149
"03/14/2001";0,9116
"03/15/2001";0,8965
"03/16/2001";0,8972
"03/19/2001";0,899
"03/20/2001";0,9093
"03/21/2001";0,8956
"03/22/2001";0,8886
"03/23/2001";0,8901
"03/26/2001";0,896
"03/27/2001";0,893
"03/28/2001";0,886
"03/29/2001";0,883
"03/30/2001";0,8759
"04/02/2001";0,8794
"04/03/2001";0,8976
"04/04/2001";0,901
"04/05/2001";0,8961
"04/06/2001";0,9042
"04/09/2001";0,8968
"04/10/2001";0,8888
"04/11/2001";0,888
"04/12/2001";0,8915
"04/16/2001";0,888
"04/17/2001";0,8834
"04/18/2001";0,8824
"04/19/2001";0,898
"04/20/2001";0,9018
"04/23/2001";0,8976
"04/24/2001";0,8939
"04/25/2001";0,8968
"04/26/2001";0,9029
"04/27/2001";0,8918
"04/30/2001";0,8868
"05/01/2001";0,8933
"05/02/2001";0,8939
"05/03/2001";0,8896
"05/04/2001";0,8924
"05/07/2001";0,8905
"05/08/2001";0,8846
"05/09/2001";0,8853
"05/10/2001";0,8813
"05/11/2001";0,8752
"05/14/2001";0,8742
"05/15/2001";0,8785
"05/16/2001";0,8833
"05/17/2001";0,8828
"05/18/2001";0,8804
"05/21/2001";0,8772
"05/22/2001";0,8647
"05/23/2001";0,8568
"05/24/2001";0,856
"05/25/2001";0,8604
"05/29/2001";0,8552
"05/30/2001";0,8568
"05/31/2001";0,8458
"06/01/2001";0,846
"06/04/2001";0,8462
"06/05/2001";0,8542
"06/06/2001";0,8482
"06/07/2001";0,8502
"06/08/2001";0,8504
"06/11/2001";0,843
"06/12/2001";0,8536
"06/13/2001";0,8545
"06/14/2001";0,8625
"06/15/2001";0,861
"06/18/2001";0,8612
"06/19/2001";0,8535
"06/20/2001";0,8547
"06/21/2001";0,8548
"06/22/2001";0,8571
"06/25/2001";0,8591
"06/26/2001";0,8631
"06/27/2001";0,8593
"06/28/2001";0,8439
"06/29/2001";0,8493
